z,Time,ISM,Stars,H,He,C,N,O,Fe
1.2372372372372373,6450714962.654534,2826032733747.7266,25655814962.097496,1210792328495.4194,382355472156.61774,77628311032.16237,77628311032.16237,77628311032.16237,0.0
1.2492492492492493,6472709177.52348,2838681100862.6104,25655814962.097496,1218963173651.626,384935739048.05853,78260729387.90623,78260729387.90623,78260729387.90623,0.0
1.2612612612612613,6494411693.135184,2851329467977.494,25655814962.097496,1227134018807.8325,387516005939.4993,78893147743.6501,78893147743.6501,78893147743.6501,0.0
1.2732732732732732,6515827897.046478,2863977835092.378,25655814962.097496,1235304863964.039,390096272830.9401,79525566099.39397,79525566099.39397,79525566099.39397,0.0
1.2852852852852852,6536963049.5498905,2876626202207.2617,25655814962.097496,1243475709120.2456,392676539722.3809,80157984455.13783,80157984455.13783,80157984455.13783,0.0
1.2972972972972974,6557822287.328715,2889274569322.1455,25655814962.097496,1251646554276.4521,395256806613.8217,80790402810.8817,80790402810.8817,80790402810.8817,0.0
1.3093093093093093,6578410626.988694,2901803612218.9644,25655814962.097496,1259740315987.7888,397812731364.7772,81416854955.72232,81416854955.72232,81416854955.72232,0.0
1.3213213213213213,6598732968.471038,2914332655115.783,25655814962.097496,1267834077699.1255,400368656115.7327,82043307100.56294,82043307100.56294,82043307100.56294,0.0
1.3333333333333333,6618794098.351404,2926861698012.602,25655814962.097496,1275927839410.4622,402924580866.68823,82669759245.40356,82669759245.40356,82669759245.40356,0.0
1.3453453453453452,6638598693.029186,2939390740909.421,25655814962.097496,1284021601121.7988,405480505617.64374,83296211390.24419,83296211390.24419,83296211390.24419,0.0
1.3573573573573574,6658151321.811306,2951919783806.2397,25655814962.097496,1292115362833.1355,408036430368.59924,83922663535.08481,83922663535.08481,83922663535.08481,0.0
1.3693693693693694,6677456449.894508,2964448826703.0586,25655814962.097496,1300209124544.4722,410592355119.55475,84549115679.92543,84549115679.92543,84549115679.92543,0.0
1.3813813813813813,6696518441.250014,2976977869599.8774,25655814962.097496,1308302886255.8088,413148279870.51025,85175567824.76605,85175567824.76605,85175567824.76605,0.0
1.3933933933933933,6715341561.414179,2989506912496.6963,25655814962.097496,1316396647967.1455,415704204621.46576,85802019969.60667,85802019969.60667,85802019969.60667,0.0
1.4054054054054055,6733929980.188675,3002035955393.515,25655814962.097496,1324490409678.4822,418260129372.42126,86428472114.4473,86428472114.4473,86428472114.4473,0.0
1.4174174174174174,6752287774.253589,3014564998290.334,25655814962.097496,1332584171389.8188,420816054123.3768,87054924259.28792,87054924259.28792,87054924259.28792,0.0
1.4294294294294294,6770418929.696626,3026974716969.088,25655814962.097496,1340600849656.2856,423347636733.847,87675410193.2253,87675410193.2253,87675410193.2253,0.0
1.4414414414414414,6788327344.46154,3039384435647.842,25655814962.097496,1348617527922.7524,425879219344.3172,88295896127.16267,88295896127.16267,88295896127.16267,0.0
1.4534534534534533,6806016830.718737,3051794154326.5957,25655814962.097496,1356634206189.2192,428410801954.7874,88916382061.10005,88916382061.10005,88916382061.10005,0.0
1.4654654654654655,6823491117.160895,3064203873005.3496,25655814962.097496,1364650884455.686,430942384565.2576,89536867995.03743,89536867995.03743,89536867995.03743,0.0
1.4774774774774775,6840753851.226333,3076613591684.1035,25655814962.097496,1372667562722.1528,433473967175.72784,90157353928.97481,90157353928.97481,90157353928.97481,0.0
1.4894894894894894,6857808601.252721,3089023310362.8574,25655814962.097496,1380684240988.6196,436005549786.19806,90777839862.91219,90777839862.91219,90777839862.91219,0.0
1.5015015015015014,6874658858.563654,3101433029041.6113,25655814962.097496,1388700919255.0864,438537132396.6683,91398325796.84956,91398325796.84956,91398325796.84956,0.0
1.5135135135135136,6891308039.490501,3113842747720.365,25655814962.097496,1396717597521.5532,441068715007.1385,92018811730.78694,92018811730.78694,92018811730.78694,0.0
1.5255255255255256,6907759487.331794,3126252466399.119,25655814962.097496,1404734275788.02,443600297617.6087,92639297664.72432,92639297664.72432,92639297664.72432,0.0
1.5375375375375375,6924016474.252421,3138662185077.873,25655814962.097496,1412750954054.4868,446131880228.0789,93259783598.6617,93259783598.6617,93259783598.6617,0.0
1.5495495495495495,6940082203.124729,3151071903756.627,25655814962.097496,1420767632320.9536,448663462838.54913,93880269532.59908,93880269532.59908,93880269532.59908,0.0
1.5615615615615615,6955959809.313551,3163481622435.381,25655814962.097496,1428784310587.4204,451195045449.01935,94500755466.53645,94500755466.53645,94500755466.53645,0.0
1.5735735735735736,6971652362.407172,3175891341114.135,25655814962.097496,1436800988853.8872,453726628059.48956,95121241400.47383,95121241400.47383,95121241400.47383,0.0
1.5855855855855856,6987162867.896064,3188181735574.8237,25655814962.097496,1444740583675.4841,456233868529.4745,95735761123.50797,95735761123.50797,95735761123.50797,0.0
1.5975975975975976,7002494268.80123,3200472130035.5127,25655814962.097496,1452680178497.081,458741108999.4594,96350280846.5421,96350280846.5421,96350280846.5421,0.0
1.6096096096096095,7017649447.253881,3212762524496.2017,25655814962.097496,1460619773318.678,461248349469.44434,96964800569.57623,96964800569.57623,96964800569.57623,0.0
1.6216216216216217,7032631226.028121,3225052918956.8906,25655814962.097496,1468559368140.275,463755589939.42926,97579320292.61037,97579320292.61037,97579320292.61037,0.0
1.6336336336336337,7047442370.028247,3237343313417.5796,25655814962.097496,1476498962961.8718,466262830409.4142,98193840015.6445,98193840015.6445,98193840015.6445,0.0
1.6456456456456456,7062085587.73221,3249633707878.2686,25655814962.097496,1484438557783.4688,468770070879.3991,98808359738.67863,98808359738.67863,98808359738.67863,0.0
1.6576576576576576,7076563532.592709,3261924102338.9575,25655814962.097496,1492378152605.0657,471277311349.38403,99422879461.71277,99422879461.71277,99422879461.71277,0.0
1.6696696696696696,7090878804.397354,3274214496799.6465,25655814962.097496,1500317747426.6626,473784551819.36896,100037399184.7469,100037399184.7469,100037399184.7469,0.0
1.6816816816816818,7105033950.589285,3286504891260.3354,25655814962.097496,1508257342248.2595,476291792289.3539,100651918907.78104,100651918907.78104,100651918907.78104,0.0
1.6936936936936937,7119031467.5495405,3298795285721.0244,25655814962.097496,1516196937069.8564,478799032759.3388,101266438630.81517,101266438630.81517,101266438630.81517,0.0
1.7057057057057057,7132873801.842469,3311085680181.7134,25655814962.097496,1524136531891.4534,481306273229.3237,101880958353.8493,101880958353.8493,101880958353.8493,0.0
1.7177177177177176,7146563351.4254,3323376074642.4023,25655814962.097496,1532076126713.0503,483813513699.30865,102495478076.88344,102495478076.88344,102495478076.88344,0.0
1.7297297297297298,7160102466.823752,3335666469103.0913,25655814962.097496,1540015721534.6472,486320754169.2936,103109997799.91757,103109997799.91757,103109997799.91757,0.0
1.7417417417417418,7173493452.272715,3347956863563.7803,25655814962.097496,1547955316356.2441,488827994639.2785,103724517522.9517,103724517522.9517,103724517522.9517,0.0
1.7537537537537538,7186738566.826591,3360247258024.469,25655814962.097496,1555894911177.841,491335235109.2634,104339037245.98584,104339037245.98584,104339037245.98584,0.0
1.7657657657657657,7199840025.436867,3372418328267.0933,25655814962.097496,1563757422554.568,493818133438.76306,104947590758.11673,104947590758.11673,104947590758.11673,0.0
1.7777777777777777,7212800000.0,3384589398509.7173,25655814962.097496,1571619933931.2952,496301031768.2627,105556144270.24762,105556144270.24762,105556144270.24762,0.0
1.7897897897897899,7225620620.375924,3396760468752.3413,25655814962.097496,1579482445308.0222,498783930097.7623,106164697782.37851,106164697782.37851,106164697782.37851,0.0
1.8018018018018018,7238303975.378194,3408931538994.9653,25655814962.097496,1587344956684.7493,501266828427.26196,106773251294.5094,106773251294.5094,106773251294.5094,0.0
1.8138138138138138,7250852113.736691,3421102609237.5894,25655814962.097496,1595207468061.4763,503749726756.7616,107381804806.64029,107381804806.64029,107381804806.64029,0.0
1.8258258258258258,7263267045.033757,3433273679480.2134,25655814962.097496,1603069979438.2034,506232625086.2612,107990358318.77118,107990358318.77118,107990358318.77118,0.0
1.8378378378378377,7275550740.614595,3445444749722.8374,25655814962.097496,1610932490814.9304,508715523415.76086,108598911830.90207,108598911830.90207,108598911830.90207,0.0
1.84984984984985,7287705134.472755,3457615819965.4614,25655814962.097496,1618795002191.6575,511198421745.2605,109207465343.03296,109207465343.03296,109207465343.03296,0.0
1.8618618618618619,7299732124.111496,3469786890208.0854,25655814962.097496,1626657513568.3845,513681320074.76013,109816018855.16385,109816018855.16385,109816018855.16385,0.0
1.8738738738738738,7311633571.381753,3481957960450.7095,25655814962.097496,1634520024945.1116,516164218404.25977,110424572367.29474,110424572367.29474,110424572367.29474,0.0
1.8858858858858858,7323411303.297477,3494129030693.3335,25655814962.097496,1642382536321.8386,518647116733.7594,111033125879.42563,111033125879.42563,111033125879.42563,0.0
1.897897897897898,7335067112.829013,3506300100935.9575,25655814962.097496,1650245047698.5657,521130015063.25903,111641679391.55652,111641679391.55652,111641679391.55652,0.0
